Time,Acc-X,Acc-Y,Acc-Z,Gyro-X,Gyro-Y,Gyro-Z,Ambient Temp
54:52.8,-2.724601489,6.883329773,5.944802722,0.740458015,-3.045801527,1.099236641,22.77
54:53.0,-2.583343591,6.90727179,5.942408521,1.320610687,-3.717557252,2.870229008,22.77
54:53.1,-2.600103003,6.995857251,5.944802722,1.938931298,-3.870229008,1.328244275,22.79
54:53.2,-2.726995691,7.012616663,5.923254907,0.236641221,-1.335877863,0.839694656,22.77
54:53.4,-2.576160986,7.012616663,5.849034656,0.557251908,-5.603053435,-0.053435115,22.77
54:53.5,-2.193088721,7.022193469,5.887341882,-0.435114504,1.297709924,0.992366412,22.79
54:53.6,-2.389413257,7.165845569,5.755660791,-1.419847328,0.366412214,1.923664122,22.77
54:53.8,-2.698265271,7.043741284,5.736507178,-1.106870229,-1.908396947,-0.72519084,22.79
54:53.9,-2.55221897,7.067683301,5.861005664,-1.27480916,-2.259541985,-0.007633588,22.75
54:54.0,-2.360682837,7.096413721,5.743689783,-0.58778626,-2.992366412,1.20610687,22.77
54:54.2,-2.384624854,7.189787585,5.858611462,0.038167939,-6.320610687,1.244274809,22.77
54:54.3,-2.444479895,7.055712292,5.69580575,-0.847328244,-2.160305344,0.694656489,22.77
54:54.4,-2.36547124,7.074865906,5.877765076,-0.93129771,-3.755725191,-0.328244275,22.73
54:54.6,-2.209848132,7.249642627,5.741295581,-0.984732824,-2.015267176,-0.465648855,22.77
54:54.7,-3.284844678,7.472303381,5.995080957,-0.381679389,-17.54198473,1.488549618,22.75
54:54.8,-0.708683691,7.333439685,6.004657764,-6.145038168,2.847328244,5.290076336,22.75
54:55.0,7.046135486,19.61270145,19.61270145,-2.442748092,31.16793893,33.29770992,22.73
54:55.1,-2.257732166,7.199364392,6.56250675,-3.244274809,28.40458015,-11.6870229,22.71
54:55.2,-2.257732166,8.161833459,5.085284326,-9.129770992,24.03816794,6.625954198,22.75
54:55.3,-3.54820686,7.307103467,5.997475159,-0.72519084,-5.190839695,6.763358779,22.75
54:55.5,-2.501940735,7.165845569,5.930437512,-0.389312977,0.93129771,-0.938931298,22.73
54:55.6,-1.618480322,7.319074475,5.578489868,-0.625954198,9.396946565,6.114503817,22.73
54:55.7,-2.961627454,7.26879624,5.738901379,-6.20610687,33.32824427,-7.519083969,22.75
54:55.9,-3.892971899,7.261613635,5.784391211,-18.58778626,8.610687023,-27.74045802,22.77
54:56.0,-3.502717029,6.054935999,6.612784985,-18.91603053,-10.18320611,-33.48091603,22.75
54:56.1,-4.378994836,4.747701892,5.583278271,-14.21374046,-22.99236641,-11.83969466,22.75
54:56.3,-3.864241479,4.402936853,6.531382129,-0.015267176,-3.816793893,-2.259541985,22.75
54:56.4,-4.302380383,5.147533569,6.825868933,6.908396947,-9.603053435,-8.358778626,22.73
54:56.5,-4.87459458,5.346252307,6.789955908,8.396946565,-9.854961832,-31.41984733,22.75
54:56.7,-3.383006946,5.506663818,6.572083557,5.427480916,-10.6870229,-22.80152672,22.75
54:56.8,-4.333505005,5.59524928,6.667851624,10.70229008,-32.2519084,-22.60305344,22.75
54:56.9,-3.655945935,5.161898779,6.847416748,5.312977099,-8.465648855,-10.90839695,22.75
54:57.1,-4.386177441,5.219359619,6.871358765,1.541984733,-2.160305344,1.847328244,22.73
54:57.2,-3.936067529,5.025429285,6.524199524,0.488549618,-6.687022901,0.244274809,22.75
54:57.4,-4.185064502,5.279214661,6.794744312,2.427480916,0.93129771,3.190839695,22.75
54:57.5,-3.869029883,5.262455249,6.730100867,-0.221374046,-2.618320611,0.442748092,22.75
54:57.6,-3.866635681,5.300762476,6.703764648,1.053435115,-1.809160305,2.259541985,22.77
54:57.8,-3.730166187,5.343858105,6.80671532,0.534351145,-3.305343511,2.030534351,22.75
54:57.9,-3.739742993,5.406107349,6.818686328,-2.580152672,0.312977099,3.572519084,22.73
54:58.0,-3.682282153,5.442020374,6.801926917,-3.435114504,-2.442748092,1.923664122,22.75
54:58.2,-3.813963245,5.300762476,6.780379102,-5.679389313,2.297709924,0.557251908,22.75
