Time,Acc-X,Acc-Y,Acc-Z,Gyro-X,Gyro-Y,Gyro-Z,Ambient Temp
33:59.3,-5.815515833,0.866701001,7.194575989,-0.419847328,-2.320610687,0.671755725,24.91
33:59.4,-5.820304236,1.060631335,7.180210779,-1.145038168,-2.702290076,0.198473282,24.89
33:59.5,-5.669469531,0.859518396,7.304709265,-0.595419847,-3.122137405,0.603053435,24.91
33:59.7,-5.750872388,0.847547388,7.309497668,-0.679389313,-2.374045802,0.41221374,24.89
33:59.8,-5.765237598,0.907402429,7.264007837,0.41221374,-1.404580153,0.106870229,24.89
33:59.9,-5.753266589,0.998382092,7.256825232,0.740458015,-0.664122137,0.946564885,24.89
34:00.1,-5.815515833,0.931344446,7.359775903,1.381679389,-1.641221374,-0.93129771,24.89
34:00.2,-5.808333228,1.015141504,7.266402039,0.732824427,-2.259541985,-0.923664122,24.91
34:00.3,-5.56651886,0.986411084,7.273584644,1.305343511,-3.648854962,-0.839694656,24.91
34:00.5,-5.568913062,0.821211169,7.352593298,1.122137405,-2.786259542,-0.541984733,24.91
34:00.6,-5.475539197,0.964863269,7.208941199,-1.374045802,-2.488549618,0.557251908,24.91
34:00.7,-5.714959363,0.926556042,7.335833887,-2.221374046,-1.488549618,1.145038168,24.91
34:00.9,-5.710170959,0.840364783,7.237671619,-0.167938931,-1.93129771,0.114503817,24.89
34:01.0,-5.583278271,0.972045874,7.31189187,0.702290076,-2.755725191,-0.702290076,24.89
34:01.1,-5.578489868,1.08217915,7.304709265,-0.351145038,-3.122137405,-1.305343511,24.93
34:01.3,-5.655104321,0.943315454,7.417236743,-1.183206107,-2.870229008,-0.900763359,24.91
34:01.4,-5.592855078,0.890643018,7.378929517,-0.885496183,-2.641221374,-0.396946565,24.91
34:01.5,-5.602431885,0.883460413,7.285555652,0.183206107,-1.801526718,-0.961832061,24.91
34:01.8,-5.597643481,0.936132849,7.3549875,1.374045802,-4.816793893,-2.679389313,24.87
34:01.9,-5.377376929,0.962469067,7.501033801,-1.900763359,-2.839694656,-1.251908397,24.89
34:02.0,-5.549759448,0.902614026,7.453149768,-0.79389313,-2.564885496,-1.419847328,24.87
34:02.1,-5.485116003,1.024718311,7.314286072,-0.58778626,1.65648855,2.13740458,24.89
34:02.3,-5.533000037,0.972045874,7.378929517,-0.732824427,-12.35877863,0.419847328,24.91
34:02.4,-5.762843396,1.120486377,7.608772876,-0.824427481,5.832061069,1.015267176,24.93
34:02.5,-4.94642063,0.790086548,7.503428003,-0.832061069,-2.198473282,2.778625954,24.91
34:02.7,-5.616797095,0.979228479,7.572859851,-2.633587786,-16.70992366,-0.083969466,24.89
34:02.8,-5.331887097,0.658405457,7.678204724,0.763358779,-12.30534351,4.27480916,24.89
