Time,Acc-X,Acc-Y,Acc-Z,Gyro-X,Gyro-Y,Gyro-Z,Ambient Temp
02:16.2,-1.291272762,2.204261662,2.007139058,0.262086514,1.717557252,4.234096692,7.696666667
02:16.3,-2.400586198,4.382187105,3.895366101,-2.152671756,5.328244275,9.750636132,15.39333333
02:16.3,-3.537831986,6.484296163,5.749276253,-5.244274809,11.26208651,17.07124682,23.09
02:16.4,-3.552995264,6.392518433,5.626373901,-7.804071247,15.1653944,20.01272265,23.09
02:16.4,-3.865039547,6.349422803,5.59524928,-6.300254453,14.67175573,21.90076336,23.08333333
02:16.4,-4.155536015,6.406883643,5.646325582,-3.605597964,9.806615776,21.67684478,23.07666667
02:16.5,-4.249707947,6.461152214,5.677450203,-1.65394402,5.218829517,21.04580153,23.08333333
02:16.5,-4.241727275,6.505843978,5.65829659,-1.122137405,3.338422392,19.65394402,23.09666667
02:16.6,-4.207410384,6.510632381,5.477933398,-0.618320611,3.371501272,17.66157761,23.11666667
02:16.6,-4.154737948,6.524997591,5.164292981,0.715012723,3.638676845,16.00254453,23.12333333
02:16.7,-3.999912907,6.602410111,4.982333655,3.129770992,2.743002545,15.13994911,23.13
02:16.7,-4.144363074,6.905675655,4.999891134,4.440203562,2.72519084,12.52926209,23.12333333
02:16.8,-4.109248116,7.010222461,5.180254325,4.577608142,-0.198473282,8.157760814,23.11666667
02:16.8,-3.900154504,7.030174141,5.375780794,2.905852417,1.956743003,5.124681934,23.11
02:16.9,-3.630407784,6.813099858,5.447606844,1.491094148,-5.201017812,2.575063613,23.11
02:16.9,-3.486755684,7.036558679,5.435635836,0.371501272,-3.338422392,4.012722646,23.10333333
02:17.0,-3.402160559,7.093221452,5.26804172,-0.582697201,0.524173028,3.875318066,23.09666667
02:17.0,-3.200249552,7.137913216,5.054159705,0.391857506,0.508905852,4.852417303,23.09666667
02:17.0,-3.098096948,7.073269771,5.284003064,-0.083969466,-3.65394402,2.809160305,23.10333333
02:17.1,-3.141192578,6.904877588,5.373386593,-1.302798982,-10.08396947,2.743002545,23.10333333
02:17.1,-3.240152913,6.860185824,5.386155668,-4.557251908,-7.735368957,2.743002545,23.09666667
02:17.2,-3.302402157,6.845022546,5.025429285,-4.941475827,-7.348600509,2.699745547,23.10333333
02:17.2,-3.219403166,6.656678682,4.951209033,-3.8956743,-12.27226463,4.430025445,23.11666667
02:17.3,-1.166774276,7.082846578,3.584917952,3.72264631,-3.628498728,14.51908397,23.12333333
02:17.3,-0.084595125,7.256825232,3.64876333,3.34351145,-4.37913486,12.02035623,23.11666667
02:17.4,-0.116517814,6.687803304,3.516284172,9.674300254,-9.501272265,14.70483461,23.10333333
02:17.4,-1.333570325,6.011840369,5.062140377,-1.987277354,-5.086513995,7.676844784,23.09666667
02:17.5,-2.536257625,6.216943644,4.891353992,-4.96437659,2.709923664,10.85496183,23.09
02:17.5,-2.179521578,6.504247843,5.285599198,-12.49109415,14.72010178,1.091603053,23.09
02:17.5,-2.885013,7.066087166,5.315925753,-8.839694656,11.7480916,-1.68956743,23.09
02:17.6,-2.831542497,6.353413139,5.476337264,-5.737913486,6.877862595,-1.508905852,23.09
02:17.6,-3.4133335,7.032568343,5.405309281,-4.297709924,4.361323155,3.613231552,23.09
02:17.7,-3.572946944,6.711745321,5.383761466,-2.951653944,0.272264631,3.119592875,23.10333333
02:17.7,-3.729368119,6.810705656,5.393338273,-2.157760814,0.264631043,2.536895674,23.11666667
02:17.8,-3.857856942,6.659870951,5.208186678,-1.394402036,-2.134860051,0.75826972,23.13
02:17.8,-3.857058875,6.646303809,5.185840796,0.430025445,-8.170483461,0.396946565,23.13
02:17.8,-3.830722656,6.606400448,5.221753821,1.297709924,-11.64631043,-0.386768448,23.13
02:17.9,-3.693455094,6.602410111,5.352636845,1.65648855,-11.29262087,-0.015267176,23.11
02:17.9,-3.547408793,6.630342464,5.38854987,1.040712468,-4.910941476,-1.045801527,23.09
02:17.9,-3.770069548,6.694187842,5.355829114,1.244274809,-3.468193384,-1.788804071,23.09
02:18.0,-3.006319218,7.173826241,5.546567179,0.992366412,-1.857506361,-3.872773537,23.11
02:18.0,-3.119644763,7.226498678,5.395732475,0.959287532,1.595419847,-4.521628499,23.12333333
02:18.1,-2.8363309,7.315882206,5.466760457,0.249363868,3.923664122,-2.155216285,23.11666667
02:18.1,-3.5569856,6.885723975,5.326300627,-0.063613232,4.72519084,0.842239186,23.11
02:18.2,-3.77805022,6.858589689,5.52342323,-0.55216285,-0.951653944,1.903307888,23.10333333
02:18.2,-3.736550724,6.747658346,5.52342323,-0.956743003,-2.440203562,1.160305344,23.09666667
02:18.3,-3.805184505,6.765215824,5.464366256,-1.51653944,-1.936386768,0.160305344,23.10333333
02:18.3,-3.652753666,6.761225488,5.370992391,-1.180661578,-3.427480916,1.073791349,23.11666667
02:18.3,-3.715800977,6.823474731,5.416482222,-1.086513995,-1.867684478,0.290076336,23.12333333
