Time,Acc-X,Acc-Y,Acc-Z,Gyro-X,Gyro-Y,Gyro-Z,Ambient Temp
09:43.0,-3.766079211,7.838616235,3.124433167,6.832061069,-7.465648855,5.435114504,23.35
09:43.1,-3.53384165,8.111555225,3.335122913,7.167938931,-6.671755725,0.923664122,23.35
09:43.3,-3.452438794,8.358157996,3.445256189,3.671755725,0.648854962,-2.801526718,23.41
09:43.4,-3.567360474,8.389282617,3.430890979,1.595419847,-5.152671756,4.923664122,23.39
09:43.5,-3.617638708,7.999027747,2.990357874,-4.641221374,-6.900763359,-3.748091603,23.39
09:43.7,-3.816357446,7.958326318,3.193865015,1.198473282,-3.877862595,4.267175573,23.39
09:43.8,-3.299209888,8.489839087,3.51947644,-8.671755725,-12.40458015,-1.519083969,23.37
09:43.9,-3.952826941,8.68137522,3.184288208,-6.091603053,-20.29770992,2.442748092,23.39
09:44.1,-3.926490723,8.286331946,3.564966272,5.961832061,7.770992366,5.091603053,23.41
09:44.2,-3.411737366,8.259995728,3.490746021,1.183206107,-0.465648855,-2.488549618,23.41
09:44.3,-3.646369128,7.984662537,3.478775012,-3.992366412,-0.312977099,-1.450381679,23.41
09:44.5,-3.315969299,8.202534888,3.023876697,-0.549618321,-5.618320611,-2.335877863,23.37
09:44.6,-3.653551733,8.346186987,2.975992664,5.335877863,2.458015267,15.45801527,23.41
09:44.7,-3.830722656,8.743624463,3.679887952,-0.496183206,-2.351145038,1.511450382,23.39
09:44.9,-3.392583752,8.224082703,3.433285181,-9.114503817,-17.52671756,-11.42748092,23.41
09:45.0,-3.50511123,7.984662537,2.975992664,-6.786259542,1.488549618,-3.832061069,23.39
09:45.1,-3.435679382,8.374917407,3.658340137,-0.267175573,7.076335878,-0.900763359,23.37
09:45.3,-3.150769385,7.838616235,3.055001318,-10.29007634,5.641221374,10.54198473,23.39
09:45.4,-3.411737366,8.384494214,4.558559961,-5.923664122,3.72519084,1.167938931,23.41
09:45.5,-3.031059302,2.932897034,-2.559401575,46.02290076,19.29770992,3.152671756,23.39
09:45.7,-2.873041992,7.706935144,3.220201233,-37.02290076,-21.41221374,-8.763358779,23.39
09:45.8,-2.051830823,6.936002209,2.542642163,10.96183206,-20.5648855,19.51145038,23.37
09:45.9,-3.964797949,8.72447085,3.347093921,6.717557252,-3.770992366,-4.374045802,23.39
09:46.1,-3.160346191,8.243236316,3.066972327,0.465648855,-2.625954198,3.229007634,23.39
09:46.3,-3.883395093,8.14746825,2.870647791,-2.366412214,0.465648855,2.27480916,23.41
09:46.5,-3.904942908,8.571241943,3.035847705,-0.740458015,-9.145038168,-0.106870229,23.37
09:46.6,-3.284844678,8.01818136,2.477998718,0.366412214,-12.36641221,-1.603053435,23.41
09:46.8,-4.19703551,8.312668164,2.760514514,0.519083969,-5.969465649,-13.67175573,23.41
09:46.9,-3.722983582,7.649474304,2.870647791,3.908396947,3.923664122,-0.488549618,23.39
09:47.0,-4.129997864,8.389282617,3.323151904,4.374045802,-38.23664122,-5.770992366,23.39
09:47.2,-3.062183923,8.190563879,3.801992236,-2.374045802,-52.21374046,-8.27480916,23.39
09:47.3,-4.565742566,7.366958508,3.315969299,12.99236641,-32.61832061,-15.84732824,23.41
09:47.4,-2.904166614,8.073247998,3.943250134,8.465648855,-22.15267176,-20.47328244,23.39
09:47.6,-3.081337537,7.963114722,4.582501978,0.442748092,-81.89312977,-18.41221374,23.39
09:47.7,-2.439691492,7.481880188,5.226542224,0.34351145,-4.038167939,-16.35877863,23.41
09:47.9,-3.603273499,7.242460022,4.699817859,-9.671755725,2.190839695,-2.633587786,23.43
09:48.0,-2.801215942,7.704540942,5.506663818,1.671755725,10.55725191,1.763358779,23.39
09:48.1,-3.323151904,7.438784558,4.944026428,3.229007634,-2.190839695,-2.770992366,23.41
09:48.3,-3.050212915,7.28316145,5.154716174,4.564885496,-4.496183206,-3.198473282,23.41
09:48.4,-3.18668241,7.333439685,4.934449622,4.404580153,-11.59541985,-4.648854962,23.41
09:48.5,-3.150769385,7.208941199,4.78840332,3.526717557,-11.4351145,-5.900763359,23.41
09:48.7,-3.095702747,7.608772876,4.857835168,0.595419847,-4.763358779,-3.297709924,23.41
09:48.8,-2.892195605,7.570465649,4.809951135,1.79389313,-0.877862595,2.541984733,23.37
09:48.9,-2.470816113,8.094795813,5.585672473,5.13740458,13.80152672,-4.564885496,23.39
09:49.1,-2.425326282,9.12909093,4.838681555,-5.183206107,2.496183206,10.64885496,23.43
09:49.2,-4.651933826,7.575254053,4.903325,-3.824427481,-31.54961832,8.977099237,23.43
09:49.3,-3.507505432,7.857769849,4.965574243,-1.557251908,6.625954198,-35.21374046,23.41
09:49.5,-3.545812659,7.582436658,4.642357019,11.57251908,14.93129771,-28.65648855,23.43
09:49.6,-3.497928625,7.280767249,4.884171387,2.297709924,26.29770992,-21.91603053,23.41
09:49.7,-3.782838623,7.220912207,4.752490295,-2.65648855,-0.86259542,10.00763359,23.41
09:50.0,-0.51954176,7.422025146,7.862558252,2.580152672,-9.038167939,-15.24427481,23.41
09:50.1,-2.504334937,7.230489014,4.177881897,7.732824427,-27.52671756,42.83206107,23.41
09:50.2,-2.46602771,7.098807922,5.403713147,12.32824427,-29.13740458,15.67938931,23.39
09:50.4,-2.858676782,7.97508573,5.686228943,-17.42748092,100.3740458,-37.47328244,23.39
09:50.5,-1.242590662,7.105990527,4.144363074,4.312977099,-6.809160305,8.312977099,23.41
09:50.6,-2.329558215,7.599196069,4.97515105,0.534351145,-3.679389313,2.900763359,23.37
09:50.8,-2.875436194,7.594407666,5.188234998,-1.045801527,-0.091603053,-0.961832061,23.41
09:50.9,-2.664746448,7.788338,4.881777185,-2.671755725,-3.167938931,-1.198473282,23.41
09:51.0,-2.748543506,7.630320691,5.195417603,-3.618320611,-22.05343511,-3.167938931,23.41
09:51.2,-2.37983645,7.410054138,5.140350964,-2.297709924,-5.679389313,-0.770992366,23.41
09:51.3,-2.772485522,7.524975818,5.288791467,-5.038167939,-12.5648855,-5.809160305,23.39
09:51.4,-1.838746875,7.144297754,5.293579871,-3.503816794,-16.19847328,-5.946564885,23.41
09:51.6,-2.183511914,8.171410266,3.016694092,5.824427481,-29.19083969,11.12977099,23.41
09:51.7,-3.495534424,7.544129431,5.762843396,6.496183206,2.786259542,-10.7480916,23.39
09:51.8,-2.559401575,7.419630945,5.295974072,-7.755725191,101.5954198,9.671755725,23.41
09:52.0,-6.303932971,6.349422803,2.540247961,14.10687023,185.9236641,15.51908397,23.43
09:52.1,-6.548141541,8.094795813,1.596932507,31.23664122,-2.038167939,29.71755725,23.43
09:52.2,-5.204994409,8.250418921,1.000776294,12.32061069,-22.65648855,29.38167939,23.41
09:52.4,-3.64876333,8.549694128,1.575384692,5.328244275,-69.95419847,20.96183206,23.45
09:52.5,-3.292027283,9.097966309,2.205059729,17.83206107,-36.54198473,29.78625954,23.43
09:52.6,-2.375048047,9.423577734,2.535459558,-0.86259542,-2.251908397,15.26717557,23.43
09:52.8,-2.061407629,9.703699329,3.0286651,-18.87022901,-24.29007634,-10.55725191,23.43
09:52.9,-1.920149731,8.123526233,2.918531824,-8.251908397,-7.190839695,-14.22900763,23.43
09:53.0,-2.013523596,7.88889447,3.359064929,10.27480916,-32.26717557,-5.541984733,23.45
09:53.2,-1.953668555,9.040505469,3.337517114,4.72519084,-27.41984733,-8.259541985,23.43
09:53.4,-1.84592948,7.374141113,3.603273499,22.94656489,-4.251908397,-3.549618321,23.41
09:53.6,-2.585737793,8.152256653,1.292868896,18.1221374,-9.030534351,-19.38931298,23.41
09:53.7,-3.325546106,9.124302527,1.084573352,28.77862595,-25.58778626,-8.648854962,23.43
09:53.9,-3.038241907,8.856151941,0.766144531,13.67175573,-20.16793893,-0.977099237,23.43
09:54.1,-3.754108203,9.10036051,0.581791003,13.80916031,-22.48854962,21.9389313,23.45
09:54.3,-3.655945935,9.239224207,1.266532678,32.12977099,-66.12977099,26.4351145,23.43
09:54.4,-2.877830396,10.75475386,2.557007373,-11.32061069,-24.75572519,13.1221374,23.43
09:54.6,-0.825999573,9.3732995,0.407014282,-71.45801527,-8.893129771,-61.42748092,23.43
09:54.7,-3.311180896,8.324639172,0.940921252,20.8778626,-4.045801527,-27.9389313,23.43
09:54.9,-3.459621399,9.294290845,2.169146704,54.16793893,-41.6259542,17.51145038,23.43
09:55.1,-7.445967163,5.276820459,1.247379065,58.97709924,-60.78625954,-61.22137405,23.45
09:55.3,-2.726995691,12.14339082,-1.460463013,-68.63358779,-84.88549618,-40.34351145,23.45
09:55.5,-4.786009119,8.329427576,1.199495032,9.824427481,-37.7480916,-16.21374046,23.43
09:55.7,-1.529894861,8.264784131,2.492363928,30.83206107,14.90839695,4.763358779,23.45
09:55.9,-6.349422803,9.076418494,3.404554761,-4.41221374,-0.961832061,46.45038168,23.45
09:56.1,-4.062960217,7.146691956,1.690306372,-7.122137405,-14.51908397,12.57251908,23.43
09:56.3,-4.91769021,7.785943799,2.734178296,-17.80152672,-34.65648855,-1.992366412,23.45
09:56.4,-4.22576593,7.673416321,2.329558215,-1.641221374,-30.32061069,-14.59541985,23.43
09:56.7,-3.488351819,8.853757739,2.91374342,27.39694656,-44.09923664,-17.73282443,23.45
09:56.9,-2.078167041,9.519345801,2.659958044,19.99236641,-43.44274809,-14.78625954,23.45
09:57.1,-2.935291235,8.324639172,1.580173096,11.36641221,-32.70229008,3.13740458,23.45
09:57.2,-3.912125513,8.803479504,1.570596289,13.02290076,-18.58778626,1.290076336,23.43
