Time,Acc-X,Acc-Y,Acc-Z,Gyro-X,Gyro-Y,Gyro-Z,Ambient Temp
51:49.3,0.070229915,2.854686446,0.834778312,-2.170483461,-2.284987277,-0.445292621,7.683333333
51:49.4,0.082200924,5.955177596,1.580971163,-4.259541985,-1.41221374,-4.419847328,15.36666667
51:49.4,0.067037646,9.352549752,2.432508887,-6.03307888,-2.34605598,-7.010178117,23.03666667
51:49.4,-0.142055965,9.599152523,2.528276953,-5.692111959,-3.338422392,-7.150127226,23.02333333
51:49.5,-0.069431848,9.403626054,2.681505859,-5.17302799,-3.244274809,-4.529262087,23.01
51:49.5,-0.074220251,9.113129586,2.728591825,-4.96437659,-1.152671756,-3.335877863,23.00333333
51:49.6,-0.003192269,9.236830005,2.636016028,-3.89821883,-0.465648855,-2.201017812,22.99666667
51:49.6,-0.124498486,9.491413448,2.612872078,-1.796437659,-5.109414758,0.384223919,22.99666667
51:49.7,-0.133277226,9.549672355,2.753331909,0.557251908,-10.1475827,4.402035623,23.00333333
51:49.7,-0.032720756,9.346165214,2.877830396,-0.226463104,-9.435114504,6.325699746,23.01
51:49.7,0.038307227,9.347761348,2.903368547,-4.603053435,-5.68956743,6.371501272,23.01
51:49.8,0.040701428,9.168994291,2.676717456,-8.72519084,-1.183206107,3.055979644,23.01
51:49.8,0.021547815,9.089985636,2.544238298,-9.132315522,1.010178117,-1.730279898,23.01
51:49.9,-0.022345882,8.907228243,2.604891406,-5.506361323,2.076335878,-3.31043257,23.01
51:49.9,-0.07741252,9.02853446,2.742957035,-1.844783715,4.030534351,-2.610687023,23.01
51:50.0,-0.124498486,9.141061938,2.789244934,-0.269720102,9.03307888,-0.567430025,23.01
51:50.0,-0.25538151,9.449913953,2.641602498,0.625954198,12.3562341,-2.231552163,23.01
51:50.1,-0.241814368,9.524932271,2.516305945,0.353689567,7.549618321,-4.24173028,23.01
51:50.1,-0.212285881,9.435548743,2.49475813,0.834605598,-1.541984733,-7.045801527,23.00333333
51:50.1,-0.000798067,9.142658073,2.639208297,0.419847328,-7.491094148,-6.290076336,22.99666667
51:50.2,0.038307227,8.997409839,2.723803422,1.770992366,-3.753180662,-3.559796438,22.99
51:50.2,-0.025538151,9.130687065,2.868253589,4.076335878,-2.043256997,2.860050891,22.99
51:50.3,-0.183555461,9.23523387,2.80760048,6.391857506,-2.122137405,7.847328244,22.99
51:50.3,-0.209891679,9.410808659,2.75891838,7.442748092,-4.944020356,10.2697201,22.99666667
