Time,Acc-X,Acc-Y,Acc-Z,Gyro-X,Gyro-Y,Gyro-Z,Ambient Temp
45:57.5,0.07182605,1.089361755,9.416395129,-44.09160305,-41.91603053,82.58015267,23.43
45:57.6,-0.509964954,1.173158813,9.466673364,-0.824427481,-1.496183206,0.564885496,23.43
45:57.8,-0.550666382,1.189918225,9.394847314,-0.93129771,-1.824427481,0.358778626,23.43
45:57.9,-0.524330164,1.163582007,9.387664709,-1.015267176,-1.824427481,0.229007634,23.45
45:58.0,-0.497993945,1.173158813,9.658209497,-0.618320611,-2.06870229,0.358778626,23.41
45:58.2,-0.588973608,1.170764612,9.502586389,-1.450381679,-1.06870229,0.335877863,23.45
45:58.3,-0.50517655,1.09654436,9.514557397,-1.183206107,-1.557251908,0.167938931,23.43
45:58.4,-0.251391174,1.122880579,9.514557397,-0.954198473,-2.328244275,-0.129770992,23.49
45:58.6,-0.553060583,1.242590662,9.533711011,-1.099236641,-1.236641221,0.595419847,23.43
45:58.7,-0.543483777,1.331176123,9.531316809,-1.236641221,-1.480916031,0.229007634,23.43
45:58.8,-0.545877979,1.142034192,9.502586389,-1.083969466,-1.335877863,0.595419847,23.43
45:59.0,-0.596156213,1.142034192,9.576806641,-1.816793893,-0.480916031,0.122137405,23.43
45:59.1,-0.557848987,1.194706628,9.507374792,-1.519083969,-1.65648855,0.526717557,23.43
45:59.2,-0.541089575,1.165976208,9.509768994,-1.175572519,-1.282442748,0.045801527,23.43
45:59.4,-0.495599744,1.192312427,9.490615381,-1.007633588,-1.809160305,0.465648855,23.45
45:59.5,-0.545877979,1.115697974,9.375693701,-1.519083969,-1.259541985,0.122137405,23.43
45:59.6,-0.502782349,1.086967554,9.622296472,-0.458015267,-2.061068702,0.221374046,23.43
45:59.8,-0.438138904,1.244984863,9.617508069,-1.740458015,-1.190839695,0.366412214,23.45
45:59.9,-0.596156213,1.127668982,9.651026892,-1.175572519,-1.435114504,0.282442748,23.43
46:00.0,-0.514753357,1.137245789,9.555258826,-1.427480916,-1.79389313,0,23.45
46:00.2,-0.483628735,1.134851587,9.526528406,-0.305343511,-0.809160305,0.13740458,23.45
46:00.3,-0.337582434,1.142034192,9.3732995,-3.34351145,-3.702290076,2.229007634,23.41
46:00.4,-0.15801731,1.359906543,9.761160168,-1.458015267,-3.885496183,-2.893129771,23.43
46:00.6,-0.50517655,0.723048901,9.452308154,-3.442748092,-0.58778626,-1.160305344,23.45
46:00.7,-0.023942017,1.271321082,9.421183533,-4.519083969,3.763358779,-1.770992366,23.49
46:00.8,-0.421379492,1.163582007,9.670180505,-0.183206107,4.79389313,-3.076335878,23.43
46:00.9,-0.517147559,1.26892688,9.536105212,-0.86259542,0.282442748,0.564885496,23.45
46:01.1,-0.636857642,1.077390747,9.411606726,-1.679389313,-1.038167939,0.236641221,23.43
46:01.2,-0.624886633,1.1540052,9.524134204,-0.770992366,-1.572519084,0.473282443,23.45
46:01.3,-0.59136781,1.185129822,9.497797986,-1.442748092,-0.72519084,0.328244275,23.43
46:01.5,-0.579396802,1.1540052,9.435548743,-1.251908397,-2.083969466,-0.190839695,23.43
46:01.6,-0.584185205,1.149216797,9.610325464,-1.27480916,-0.938931298,0.145038168,23.45
46:01.8,-0.514753357,1.194706628,9.502586389,-1.175572519,-1.885496183,0.244274809,23.49
46:01.9,-0.644040247,1.192312427,9.469067566,-1.259541985,-1.312977099,0.251908397,23.43
46:02.0,-0.758961926,1.173158813,9.449913953,-0.832061069,-2.198473282,0.305343511,23.45
46:02.1,-0.744596716,1.156399402,9.526528406,-0.694656489,-2.015267176,0.427480916,23.45
46:02.3,-0.658405457,1.158793604,9.488221179,-1.167938931,-1.335877863,0.061068702,23.43
46:02.4,-0.543483777,1.244984863,9.583989246,-0.671755725,-1.625954198,0.335877863,23.45
46:02.6,-0.651222852,1.180341418,9.356540088,-1.549618321,-2.213740458,0.213740458,23.49
46:02.8,-0.481234534,1.161187805,9.516951599,-0.778625954,-1.488549618,0.541984733,23.45
46:02.9,-0.411802686,1.173158813,9.497797986,-2.442748092,-0.732824427,0.778625954,23.45
46:03.0,-0.842758984,1.005564697,9.739612354,-1.541984733,-15.06870229,-0.030534351,23.49
46:03.2,-0.897825623,0.912190833,9.598354456,-9.030534351,-1.030534351,1.870229008,23.45
46:03.3,-0.268150586,0.931344446,9.464279163,-1.664122137,-5.618320611,-2.145038168,23.49
46:03.4,-0.383072266,0.849941589,9.346963281,1.190839695,-0.427480916,-0.183206107,23.45
46:03.6,-0.411802686,0.902614026,9.509768994,-1.145038168,-1.473282443,-0.167938931,23.45
46:03.7,-0.392649072,1.137245789,9.593566052,0.145038168,-6.954198473,0.305343511,23.49
46:03.8,0.179565125,0.797269153,9.624690674,-0.13740458,-2.221374046,-1.900763359,23.45
